side,entry_index,exit_index,entry_price,exit_price,stop_loss_price,take_profit_price,exit_reason,gross_return,leveraged_return,net_return
short,64496,64539,29554.915150,29850.464302,29850.464302,28963.816847,stop_loss,-10.000000,-100.000000,-100.800000
short,65663,65714,30103.540700,30404.576107,30404.576107,29501.469886,stop_loss,-10.000000,-100.000000,-100.800000
short,65881,66033,30053.365800,29452.298484,30353.899458,29452.298484,take_profit,20.000000,200.000000,199.200000
short,66135,66141,29100.342550,29391.345976,29391.345976,28518.335699,stop_loss,-10.000000,-100.000000,-100.800000
short,67934,68127,30054.865050,30355.413701,30355.413701,29453.767749,stop_loss,-10.000000,-100.000000,-100.800000
short,68443,68461,30077.053950,30377.824490,30377.824490,29475.512871,stop_loss,-10.000000,-100.000000,-100.800000
short,69431,69480,29566.009600,29861.669696,29861.669696,28974.689408,stop_loss,-10.000000,-100.000000,-100.800000
short,70241,70331,28809.288150,29097.381032,29097.381032,28233.102387,stop_loss,-10.000000,-100.000000,-100.800000
short,70375,70825,28815.485050,29103.639901,29103.639901,28239.175349,stop_loss,-10.000000,-100.000000,-100.800000
short,71525,71554,29356.614350,29650.180494,29650.180494,28769.482063,stop_loss,-10.000000,-100.000000,-100.800000
short,72357,72563,32025.579200,31385.067616,32345.834992,31385.067616,take_profit,20.000000,200.000000,199.200000
short,72902,72942,29705.040050,30002.090451,30002.090451,29110.939249,stop_loss,-10.000000,-100.000000,-100.800000
short,73049,73109,29718.233450,30015.415785,30015.415785,29123.868781,stop_loss,-10.000000,-100.000000,-100.800000
short,73224,73234,29726.329400,30023.592694,30023.592694,29131.802812,stop_loss,-10.000000,-100.000000,-100.800000
short,74210,74721,29790.197450,30088.099425,30088.099425,29194.393501,stop_loss,-10.000000,-100.000000,-100.800000
short,75817,75833,30954.115200,31263.656352,31263.656352,30335.032896,stop_loss,-10.000000,-100.000000,-100.800000
short,75837,75907,31148.118150,30525.155787,31459.599332,30525.155787,take_profit,20.000000,200.000000,199.200000
short,78545,78554,23020.484000,23250.688840,23250.688840,22560.074320,stop_loss,-10.000000,-100.000000,-100.800000
short,78680,78699,23058.165150,22597.001847,23288.746802,22597.001847,take_profit,20.000000,200.000000,199.200000
short,81337,81374,19779.405350,19383.817243,19977.199404,19383.817243,take_profit,20.000000,200.000000,199.200000
short,81437,81499,19802.793650,20000.821587,20000.821587,19406.737777,stop_loss,-10.000000,-100.000000,-100.800000
short,81960,81985,19853.868100,20052.406781,20052.406781,19456.790738,stop_loss,-10.000000,-100.000000,-100.800000
short,82750,82788,20298.245800,20501.228258,20501.228258,19892.280884,stop_loss,-10.000000,-100.000000,-100.800000
short,82874,82972,20295.946950,19890.028011,20498.906420,19890.028011,take_profit,20.000000,200.000000,199.200000
short,85618,85754,21054.967250,20633.867905,21265.516923,20633.867905,take_profit,20.000000,200.000000,199.200000
short,88356,88516,19176.606900,19368.372969,19368.372969,18793.074762,stop_loss,-10.000000,-100.000000,-100.800000
short,88771,88786,19998.295850,20198.278808,20198.278808,19598.329933,stop_loss,-10.000000,-100.000000,-100.800000
short,88968,89036,19977.406300,19577.858174,20177.180363,19577.858174,take_profit,20.000000,200.000000,199.200000
short,90109,90129,20833.578000,21041.913780,21041.913780,20416.906440,stop_loss,-10.000000,-100.000000,-100.800000
short,91204,91470,21476.356450,21046.829321,21691.120015,21046.829321,take_profit,20.000000,200.000000,199.200000
short,91967,92029,20363.513150,20567.148282,20567.148282,19956.242887,stop_loss,-10.000000,-100.000000,-100.800000
short,93022,93080,19752.418850,19949.943039,19949.943039,19357.370473,stop_loss,-10.000000,-100.000000,-100.800000
short,93297,93421,19753.618250,19951.154432,19951.154432,19358.545885,stop_loss,-10.000000,-100.000000,-100.800000
short,94721,94919,21431.378950,21002.751371,21645.692739,21002.751371,take_profit,20.000000,200.000000,199.200000
short,95738,95787,21998.695150,22218.682102,22218.682102,21558.721247,stop_loss,-10.000000,-100.000000,-100.800000
